country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,8,8,12,11,15,15,16,16,19,16,24,20
Angola,22,23,19,15,18,19,19,26,27,29,33,33
Albania,33,31,33,36,39,38,36,35,36,35,36,37
UAE,68,69,70,70,66,71,70,71,71,69,67,68
Argentina,35,34,34,32,36,39,40,45,42,38,38,37
Armenia,34,36,37,35,33,35,35,42,49,49,46,47
Australia,85,81,80,79,79,77,77,77,77,73,75,75
Austria,69,69,72,76,75,75,76,77,76,74,71,71
Azerbaijan,27,28,29,29,30,31,25,30,30,30,23,23
Burundi,19,21,20,21,20,22,17,19,19,19,17,20
Belgium,75,75,76,77,77,75,75,75,76,73,73,73
Benin,36,36,39,37,36,39,40,41,41,42,43,43
Burkina Faso,38,38,38,38,42,42,41,40,40,42,42,41
Bangladesh,26,27,25,25,26,28,26,26,26,26,25,24
Bulgaria,41,41,43,41,41,43,42,43,44,42,43,45
Bahrain,51,48,49,51,43,36,36,42,42,42,44,42
Bahamas,71,71,71,,66,65,65,64,63,64,64,64
Bosnia and Herzegovina,42,42,39,38,39,38,38,36,35,35,34,35
Belarus,31,29,31,32,40,44,44,45,47,41,39,37
Bolivia,34,34,35,34,33,33,29,31,31,30,31,29
Brazil,43,42,43,38,40,37,35,35,38,38,38,36
Barbados,76,75,74,,61,68,68,62,64,65,65,69
Brunei,55,60,,,58,62,63,60,60,,,
Bhutan,63,63,65,65,65,67,68,68,68,68,68,68
Botswana,65,64,63,63,60,61,61,61,60,55,60,59
Central African Republic,26,25,24,24,20,23,26,25,26,24,24,24
Canada,84,81,81,83,82,82,81,77,77,74,74,76
Switzerland,86,85,86,86,86,85,85,85,85,84,82,82
Chile,72,71,73,70,66,67,67,67,67,67,67,66
China,39,40,36,37,40,41,39,41,42,45,45,42
Cote d'Ivoire,29,27,32,32,34,36,35,35,36,36,37,40
Cameroon,26,25,27,27,26,25,25,25,25,27,26,27
"Congo, Dem. Rep.",21,22,22,22,21,21,20,18,18,19,20,20
"Congo, Rep.",26,22,23,23,20,21,19,19,19,21,21,22
Colombia,36,36,37,37,37,37,36,37,39,39,39,40
Comoros,28,28,26,26,24,27,27,25,21,20,19,20
Cape Verde,60,58,57,55,59,55,57,58,58,58,60,64
Costa Rica,54,53,54,55,58,59,56,56,57,58,54,55
Cuba,48,46,46,47,47,47,47,48,47,46,45,42
Cyprus,66,63,63,61,55,57,59,58,57,53,52,53
Czech Republic,49,48,51,56,55,57,59,56,54,54,56,57
Germany,79,78,79,81,81,81,80,80,80,80,79,78
Djibouti,36,36,34,34,30,31,31,30,27,30,30,30
Dominica,58,58,58,,59,57,57,55,55,55,55,56
Denmark,90,91,92,91,90,88,88,87,88,88,90,90
Dominican Republic,32,29,32,33,31,29,30,28,28,30,32,35
Algeria,34,36,36,36,34,33,35,35,36,33,33,36
Ecuador,32,35,33,32,31,32,34,38,39,36,36,34
Egypt,32,32,37,36,34,32,35,35,33,33,30,35
Eritrea,25,20,18,18,18,20,24,23,21,22,22,21
Spain,65,59,60,58,58,57,58,62,62,61,60,60
Estonia,64,68,69,70,70,71,73,74,75,74,74,76
Ethiopia,33,33,33,33,34,35,34,37,38,39,38,37
Finland,90,89,89,90,89,85,85,86,85,88,87,87
Fiji,,,,,,,,,,55,53,52
France,71,71,69,70,69,70,72,69,69,71,72,71
Gabon,35,34,37,34,35,32,31,31,30,31,29,28
UK,74,76,78,81,81,82,80,77,77,78,73,71
Georgia,52,49,52,52,57,56,58,56,56,55,56,53
Ghana,45,46,48,47,43,40,41,41,43,43,43,43
Guinea,24,24,25,25,27,27,28,29,28,25,25,26
Gambia,34,28,29,28,26,30,37,37,37,37,34,37
Guinea-Bissau,25,19,19,17,16,17,16,18,19,21,21,22
Equatorial Guinea,20,19,,,,17,16,16,16,17,17,17
Greece,36,40,43,46,44,48,45,48,50,49,52,49
Grenada,,,,,56,52,52,53,53,53,52,53
Guatemala,33,29,32,28,28,28,27,26,25,25,24,23
Guyana,28,27,30,29,34,38,37,40,41,39,40,40
Honduras,28,26,29,31,30,29,29,26,24,23,23,23
Croatia,46,48,48,51,49,49,48,47,47,47,50,50
Haiti,19,19,19,17,20,22,20,18,18,20,17,17
Hungary,55,54,54,51,48,45,46,44,44,43,42,42
Indonesia,32,32,34,36,37,37,38,40,37,38,34,34
India,36,36,38,38,40,40,41,41,40,40,40,39
Ireland,69,72,74,75,73,74,73,74,72,74,77,77
Iran,28,25,27,27,29,30,28,26,25,25,25,24
Iraq,18,16,16,16,17,18,18,20,21,23,23,23
Iceland,82,78,79,79,78,77,76,78,75,74,74,72
Israel,60,61,60,61,64,62,61,60,60,59,63,62
Italy,42,43,43,44,47,50,52,53,53,56,56,56
Jamaica,38,38,38,41,39,44,44,43,44,44,44,44
Jordan,48,45,49,53,48,48,49,48,49,49,47,46
Japan,74,74,76,75,72,73,73,73,74,73,73,73
Kazakhstan,28,26,29,28,29,31,31,34,38,37,36,39
Kenya,27,27,25,25,26,28,27,28,31,30,32,31
Kyrgyz Republic,24,24,27,28,28,29,29,30,31,27,27,26
Cambodia,22,20,21,21,21,21,20,20,21,23,24,22
South Korea,56,55,55,54,53,54,57,59,61,62,63,63
Kuwait,44,43,44,49,41,39,41,40,42,43,42,46
Lao,21,26,25,25,30,29,29,29,29,30,31,28
Lebanon,30,28,27,28,28,28,28,28,25,24,24,24
Liberia,41,38,37,37,37,31,32,28,28,29,26,25
Libya,21,15,18,16,14,17,17,18,17,17,17,18
St. Lucia,71,71,71,,60,55,55,55,56,56,55,55
Sri Lanka,40,37,38,37,36,38,38,38,38,37,36,34
Lesotho,45,49,49,44,39,42,41,40,41,38,37,39
Lithuania,54,57,58,59,59,59,59,60,60,61,62,61
Luxembourg,80,80,82,85,81,82,81,80,80,81,77,78
Latvia,49,53,55,56,57,58,58,56,57,59,59,60
Morocco,37,37,39,36,37,40,43,41,40,39,38,38
Moldova,36,35,35,33,30,31,33,32,34,36,39,42
Madagascar,32,28,28,28,26,24,25,24,25,26,26,25
Maldives,,,,,36,33,31,29,43,40,40,39
Mexico,34,34,35,31,30,29,28,29,31,31,31,31
North Macedonia,43,44,45,42,37,35,37,35,35,39,40,42
Mali,34,28,32,35,32,31,32,29,30,29,28,28
Malta,57,56,55,60,55,56,54,54,53,54,51,51
Myanmar,15,21,21,22,28,30,29,29,28,28,23,20
Montenegro,41,44,42,44,45,46,45,45,45,46,45,46
Mongolia,36,38,39,39,38,36,37,35,35,35,33,33
Mozambique,31,30,31,31,27,25,23,26,25,26,26,25
Mauritania,31,30,30,31,27,28,27,28,29,28,30,30
Mauritius,57,52,54,53,54,50,51,52,53,54,50,51
Malawi,37,37,33,31,31,31,32,31,30,35,34,34
Malaysia,49,50,52,50,49,47,47,53,51,48,47,50
Namibia,48,48,49,53,52,51,53,52,51,49,49,49
Niger,33,34,35,34,35,33,34,32,32,31,32,32
Nigeria,27,25,27,26,28,27,27,26,25,24,24,25
Nicaragua,29,28,28,27,26,26,25,22,22,20,19,17
Netherlands,84,83,83,84,83,82,82,82,82,82,80,79
Norway,85,86,86,88,85,85,84,84,84,85,84,84
Nepal,27,31,29,27,29,31,31,34,33,33,34,35
New Zealand,90,91,91,91,90,89,87,87,88,88,87,85
Oman,47,47,45,45,45,44,52,52,54,52,44,43
Pakistan,27,28,29,30,32,32,33,32,31,28,27,29
Panama,38,35,37,39,38,37,37,36,35,36,36,35
Peru,38,38,38,36,35,37,35,36,38,36,36,33
Philippines,34,36,38,35,35,34,36,34,34,33,33,34
Papua New Guinea,25,25,25,25,28,29,28,28,27,31,30,29
Poland,58,60,61,63,62,60,60,58,56,56,55,54
North Korea,8,8,8,8,12,17,14,17,18,16,17,17
Portugal,63,62,63,64,62,63,64,62,61,62,62,61
Paraguay,25,24,24,27,30,29,29,28,28,30,28,28
Qatar,68,68,69,71,61,63,62,62,63,63,58,58
Romania,44,43,43,46,48,48,47,44,44,45,46,46
Russia,28,28,27,29,29,29,28,28,30,29,28,26
Rwanda,53,53,49,54,54,55,56,53,54,53,51,53
Saudi Arabia,44,46,49,52,46,49,49,53,53,53,51,52
Sudan,13,11,11,12,14,16,16,16,16,20,22,20
Senegal,36,41,43,44,45,45,45,45,45,43,43,43
Singapore,87,86,84,85,84,84,85,85,85,85,83,83
Solomon Islands,,,,,42,39,44,42,42,43,42,43
Sierra Leone,31,30,31,29,30,30,30,33,33,34,34,35
El Salvador,38,38,39,39,36,33,35,34,36,34,33,31
Somalia,8,8,8,8,10,9,10,9,12,13,12,11
Serbia,39,42,41,40,42,41,39,39,38,38,36,36
South Sudan,,14,15,15,11,12,13,12,12,11,13,13
Sao Tome and Principe,42,42,42,42,46,46,46,46,47,45,45,45
Suriname,37,36,36,36,45,41,43,44,38,39,40,40
Slovak Republic,46,47,50,51,51,50,50,50,49,52,53,54
Slovenia,61,57,58,60,61,61,60,60,60,57,56,56
Sweden,88,89,87,89,88,84,85,85,85,85,83,82
Eswatini,37,39,43,,,39,38,34,33,32,30,30
Seychelles,52,54,55,55,,60,66,66,66,70,70,71
Syria,26,17,20,18,13,14,13,13,14,13,13,13
Chad,19,19,22,22,20,20,19,20,21,20,19,20
Togo,30,29,29,32,32,32,30,29,29,30,30,31
Thailand,37,35,38,38,35,37,36,36,36,35,36,35
Tajikistan,22,22,23,26,25,21,25,25,25,25,24,20
Turkmenistan,17,17,17,18,22,19,20,19,19,19,19,18
Timor-Leste,33,30,28,28,35,38,35,38,40,41,42,43
Trinidad and Tobago,39,38,38,39,35,41,41,40,40,41,42,42
Tunisia,41,41,40,38,41,42,43,43,44,44,40,40
Turkey,49,50,45,42,41,40,41,39,40,38,36,34
Tanzania,35,33,31,30,32,36,36,37,38,39,38,40
Uganda,29,26,26,25,25,26,26,28,27,27,26,26
Ukraine,26,25,26,27,29,30,32,30,33,32,33,36
Uruguay,72,73,73,74,71,70,70,71,71,73,74,73
USA,73,73,74,76,74,75,71,69,67,67,69,69
Uzbekistan,17,17,18,19,21,22,23,25,26,28,31,33
St. Vincent and the Grenadines,62,62,62,,60,58,58,59,59,59,60,60
Venezuela,19,20,19,17,17,18,18,16,15,14,14,13
Vietnam,31,31,31,31,33,35,33,37,36,39,42,41
Vanuatu,,,,,,43,46,46,43,45,48,48
Yemen,23,18,19,18,14,16,14,15,15,16,16,16
South Africa,43,42,44,44,45,43,43,44,44,44,43,41
Zambia,37,38,38,38,38,37,35,34,33,33,33,37
Zimbabwe,20,21,21,21,22,22,22,24,24,23,23,24
